project,version,from,to,commits,accumulated_commits,committers,committers_weigth,changes,additions,deletions,changed_files,new_technical_debt,blocker_violations,bugs,classes,code_smells,cognitive_complexity,comment_lines,comment_lines_density,class_complexity,file_complexity,function_complexity,complexity_in_classes,complexity_in_functions,branch_coverage,new_branch_coverage,conditions_to_cover,new_conditions_to_cover,confirmed_issues,coverage,new_coverage,critical_violations,complexity,last_commit_date,directories,duplicated_blocks,new_duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,new_duplicated_lines_density,new_duplicated_lines,effort_to_reach_maintainability_rating_a,false_positive_issues,file_complexity_distribution,files,function_complexity_distribution,functions,generated_lines,generated_ncloc,info_violations,violations,line_coverage,new_line_coverage,lines,ncloc,lines_to_cover,new_lines_to_cover,sqale_rating,new_maintainability_rating,major_violations,minor_violations,new_blocker_violations,new_bugs,new_code_smells,new_critical_violations,new_info_violations,new_violations,new_lines,new_major_violations,new_minor_violations,new_security_hotspots,new_vulnerabilities,open_issues,projects,public_api,public_documented_api_density,public_undocumented_api,alert_status,reliability_rating,new_reliability_rating,reliability_remediation_effort,new_reliability_remediation_effort,reopened_issues,security_hotspots,security_rating,new_security_rating,security_remediation_effort,new_security_remediation_effort,security_review_rating,skipped_tests,statements,sqale_index,sqale_debt_ratio,new_sqale_debt_ratio,uncovered_conditions,new_uncovered_conditions,uncovered_lines,new_uncovered_lines,test_execution_time,test_errors,test_failures,tests,test_success_density,vulnerabilities,wont_fix_issues
monica,master,2019-12-31T19:36:10+0100,2020-02-28T11:41:59+0100,115,1640,8,0.0151,20515,13512,7003,517,0,0,41,484,143,2313,7188,17.2,0,6.1,0,0,0,0,0,0,0,0,76.0,0,5,4347,1582544454000,0,36,0,25,1233,1.7,0,0,0,17,0,728,0,2772,0,0,7,184,76.0,0,70579,34561,11746,0,1.0,0,116,56,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,OK,3.0,0,160,0,0,79,1.0,0,0,0,1.0,9,12153,2124,0.2,0.256765067650677,0,0,2816,0,271286,0,0,1486,100.0,0,24
monica,2.16.0,2019-11-12T23:30:52+0100,2019-12-31T19:36:10+0100,137,1525,17,0.0091,31230,17081,14149,656,0,0,37,448,89,2083,6947,17.8,0,6.0,0,0,0,0,0,0,0,1,75.1,0,5,4032,1577816795000,0,32,0,21,1118,1.7,0,0,0,17,0,689,0,2605,0,0,8,126,75.1,0,66927,32101,11177,0,1.0,0,66,47,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,OK,2.0,0,160,0,0,0,1.0,0,0,0,1.0,9,11306,1857,0.2,0.116033755274262,0,0,2782,0,301966,0,0,1381,100.0,0,24
monica,2.15.2,2019-09-24T23:52:35+0200,2019-11-12T23:30:52+0100,96,1388,13,0.0153,17315,10801,6514,401,0,0,42,438,85,2043,6796,17.8,0,5.9,0,0,0,0,0,0,0,1,73.5,0,4,3904,1573596296000,0,29,0,20,1006,1.5,0,0,0,20,0,681,0,2497,0,0,8,128,73.5,0,65792,31366,10868,0,1.0,0,64,52,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,OK,2.0,0,185,0,0,0,2.0,0,10,0,1.0,9,11003,1811,0.2,1.21757925072046,0,0,2883,0,303141,3,4,1345,99.5,1,23
monica,2.15.1,2019-09-22T14:21:12+0200,2019-09-24T23:52:35+0200,5,1292,1,1.0,54,31,23,9,0,0,90,435,110,2027,6485,17.6,0,5.7,0,0,0,0,0,0,0,1,73.1,0,5,3816,1569361130000,0,27,0,19,742,1.1,0,0,0,20,0,680,0,2428,0,0,4,200,73.1,0,64841,30278,10507,0,1.0,0,101,90,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,OK,3.0,0,313,0,0,10,1.0,0,0,0,1.0,9,10761,1476,0.2,0.0,0,0,2828,0,307243,0,0,1331,100.0,0,11
monica,2.15.0,2019-04-07T23:10:28+0200,2019-09-22T14:21:12+0200,266,1287,21,0.0059,36091,25289,10802,625,0,0,90,435,110,2028,6485,17.6,0,5.7,0,0,0,0,0,0,0,1,73.1,0,5,3817,1569154296000,0,27,0,19,742,1.1,0,0,0,20,0,680,0,2428,0,0,4,200,73.1,0,64843,30279,10507,0,1.0,0,101,90,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,OK,3.0,0,313,0,0,10,1.0,0,0,0,1.0,9,10760,1476,0.2,0.0,0,0,2829,0,319358,0,0,1331,100.0,0,11
monica,2.13.0,2019-03-09T20:12:12+0100,2019-04-07T23:10:28+0200,43,1021,10,0.0287,7635,5264,2371,208,0,0,45,413,151,1860,6091,17.9,6.3,5.3,1.6,0,0,0,0,0,0,2,68.4,0,3,3487,1554669771000,0,27,0,18,748,0.8,0,0,0,28,0=447;5=109;10=64;20=19;30=12;60=2;90=3,670,1=1021;2=387;4=83;6=27;8=10;10=6;12=9,2239,0,0,3,196,68.4,0,60969,27934,9888,0,1.0,0,140,50,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,OK,3.0,0,195,0,0,0,1.0,0,0,0,0,9,9880,1744,0.2,0.0256805341551104,0,0,3128,0,248813,0,0,1244,100.0,0,18
monica,2.12.1,2019-02-09T15:53:30+0100,2019-03-09T20:12:12+0100,47,978,10,0.0351,10587,6381,4206,207,0,0,46,412,151,1848,6043,17.9,6.3,5.3,1.6,0,0,0,0,0,0,2,66.7,0,3,3459,1552157470000,195,29,0,19,750,0.8,0,0,0,27,0=449;5=108;10=63;20=19;30=11;60=2;90=3,669,1=1007;2=376;4=89;6=29;8=9;10=6;12=9,2209,0,0,3,197,66.7,0,60541,27717,9873,0,1.0,0,140,51,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,OK,3.0,0,200,0,0,0,1.0,0,0,0,0,9,9837,1759,0.2,0.0,0,0,3290,0,202408,0,0,1187,100.0,0,17
monica,2.12.0,2019-01-01T16:25:26+0100,2019-02-09T15:53:30+0100,106,931,12,0.0132,222248,114046,108202,742,0,0,46,413,151,1860,5993,17.8,6.3,5.3,1.6,0,0,0,0,0,0,2,66.8,0,3,3471,1549723365000,195,31,0,21,876,1.0,0,0,0,50,0=451;5=106;10=63;20=18;30=12;60=2;90=3,669,1=1006;2=379;4=88;6=27;8=9;10=8;12=9,2210,0,0,3,197,66.8,0,60195,27730,9890,0,1.0,0,140,51,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,OK,3.0,0,200,0,0,0,1.0,0,0,0,0,9,9840,1759,0.2,0.0,0,0,3287,0,143819,0,0,1187,100.0,0,20
monica,2.11.2,2018-12-26T15:40:14+0100,2019-01-01T16:25:26+0100,8,825,3,0.2206,748,710,38,15,0,0,46,390,127,1785,6521,12.0,6.5,4.0,1.6,0,0,0,0,0,0,3,66.6,0,3,3318,1546355750000,202,29,0,18,732,0.7,0,0,0,34,0=646;5=99;10=63;20=12;30=14;60=2;90=3,853,0,2085,0,0,3,173,66.6,0,83166,47805,9477,0,1.0,0,112,55,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,OK,3.0,0,200,0,0,0,1.0,0,0,0,0,9,9677,1189,0.1,0.0,0,0,3168,0,266338,0,0,1088,100.0,0,26
monica,2.11.1,2018-12-23T20:04:53+0100,2018-12-26T15:40:14+0100,16,817,3,0.1468,18402,11734,6668,204,0,0,46,389,127,1762,6465,11.9,6.5,3.9,1.6,0,0,0,0,0,0,3,66.4,0,3,3295,1545834086000,202,29,0,18,732,0.7,0,0,0,34,0=645;5=99;10=64;20=12;30=13;60=2;90=3,852,0,2076,0,0,3,173,66.4,0,82928,47689,9408,0,1.0,0,112,55,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,OK,3.0,0,200,0,0,0,1.0,0,0,0,0,9,9620,1189,0.1,0.0,0,0,3165,0,311567,0,0,1078,100.0,0,26
